,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,https://class101.net/products/MeWbxFNvpDjWA67CWylo,운동 · 스트레칭조이 ,쿠폰 적용 시,5개월 할부,34%,총 할인액,콘텐츠 이용권,준비물 키트,입문자 대상,7000명의 오프라인 수강생이 선택한 '스트레칭조이'의 다리찢기 프로젝트,380,공유하기,https://www.instagram.com/stretchjoy,https://www.youtube.com/channel/UC7jfcWMKdtypYEPPtpRboow?sub_confirmation=1,https://stretchjoy.modoo.at/?NaPm=ct%3Dki34guqu%7Cci%3Dcheckout%7Ctr%3Dds%7Ctrx%3D%7Chk%3Dad6689d12172428f592cc75d8f824707035a4fd7,전)에어로빅 체조 선수 한양대학교 생활스포츠과학 학사 한양대학교 스포츠경영학 석사 글로벌 스포츠 경영리서치센터 연구원 쓸모있는몸을만드는 스트레칭 저자 쓸모있는몸을만드는 다리찢기 저자생활체육 지도자 에어로빅 1급 생활체육 지도자 보디빌딩 2급나혼자산다 김지훈배우 담당 스트레칭코치두산 장원준 투수 담당 스트레칭코치,,,,,,
1,https://class101.net/products/taAqhVz62rYVn7JFZYY7,미술 · 펜크래프트,쿠폰 적용 시,5개월 할부,48%,총 할인액,콘텐츠 이용권,준비물 키트,입문자 대상,강의 만족도 98%,"사각사각 손글씨의 낭만, 펜크래프트의 한글 정자체 펜글씨",11196,공유하기,선물하기,https://instagram.com/pencraft_,https://www.youtube.com/channel/UCJ6ffXRHtnXLhM2MFYsOrhQ?view_as=subscriber,https://smartstore.naver.com/pencraft,펜크래프트가 직접 고른 펜글씨 클래스에 필요한 모든 재료가 포함된 패키지입니다.까렌다쉬 만년필을 추가 옵션으로 구매하실 수 있습니다.,"스테들러 마스 루모그래프 B연필 (1자루)스테들러 슬라이딩 지우개(색상랜덤, 1개)모닝글로리 스프링 5mm 방안노트(색상랜덤, 1권)잉크조이펜 14색 0.5mm (1세트)",,,
2,https://class101.net/products/6zymWqgESI5vlAS8XGVv,요리/음료 · 키스더 브레드,쿠폰 적용 시,5개월 할부,40%,총 할인액,콘텐츠 이용권,준비물 키트,초급자 대상,전문 도구 없이도 가능한 『키스더 브레드』 홈 베이킹 클래스,1017,공유하기,https://www.instagram.com/kissthebread_cake/,,,,,,,,,
3,https://class101.net/products/YxoLEEDOqDUH3NZ1PBJ0,디지털 드로잉 · 윤달곰,쿠폰 적용 시,5개월 할부,31%,총 할인액,콘텐츠 이용권,준비물 키트,초급자 대상,"빛과 소재로 풍성하게, 아름다운 로맨틱 판타지 아이패드 드로잉",2380,공유하기,https://www.instagram.com/y_dalgom,https://twitter.com/y_dalgom,용량 선택 : 256GB색상 선택 : 실버 / 스페이스그레이,용량 선택 : 256GB색상 : 스페이스그레이,용량 선택 : 64GB / 256GB색상 : 실버 / 골드 / 스페이스그레이,용량 선택 : 64GB / 256GB색상 : 실버 / 로즈골드 / 스페이스그레이,"호환 기기: iPad Air , iPad mini ","호환 기기: iPad Pro 11, iPad Pro 12.9","애플 제품은 발송예정일 전 입고될 시, 예정일보다 더 빠르게 발송해드릴 수 있습니다.애플 아이패드 제품의 환불 및 A/S는 애플 코리아의 정책을 따릅니다. 다만 제품 가치가 훼손 됐을 경우, 자사 유료서비스 이용약관을 기준으로 환불을 처리합니다.애플 아이패드 패키지 최저가 혜택은 패키지로 구매할 경우에 한해 적용됩니다.애플 아이패드 패키지 구매 후 기기 단독 환불 시, 본 페이지 내의 상품 가격 기준으로 금액을 공제하고 환불합니다.애플 아이패드 패키지 구매 후 아이패드 패키지를 제외하고 환불 시, 기기의 공식판매가격을 기준으로 금액을 공제한 후, 아래의 환불 정책에 따라 환불이 진행됩니다.","클래스에서 활용하는 Clip Studio Paint는 유료 프로그램입니다.원활한 강의 수강을 위해서는 필수로 갖춰주셔야 합니다.프로그램 사용법, 활용법은 클래스에서 충분히 알려드립니다."
4,https://class101.net/products/SuRY3jkWhHoOW4GHu6NQ,미술 · 고센,5개월 할부,42%,총 할인액,콘텐츠 이용권,준비물 키트,입문자 대상,강의 만족도 95%,"스쳐가는 바람과 햇살을 담아, 부드럽게 그려보는 오일파스텔 풍경화",1701,공유하기,선물하기,https://instagram.com/goshen_illust,https://www.youtube.com/channel/UCeXlvwAZbJKd92TRknaZ8Lg,"디자인부터 샌딩,마감까지 모두 앙스에서 자작나무로 직접제작했어요_!세로, 가로로도 활용 가능해요.자작나무로 만들어져 굉장히 가벼워요나무의 질감으로 실용성과 감성을 내방에 가득 채워보세요!","📌(1)우드 원목 투명 액자 프레임 레일걸이 M (22X2 cm/ A4 사이즈) 📌(2)우드 원목 투명 액자 프레임 레일걸이 S (16X2cm / A5사이즈)따듯한 느낌을 살리기위해, 네개의 꼭지점을 둥글게 다듬은 제품입니다.8mm 크기의 네오미듐 자석을 사용해 안정적으로 잘 고정됩니다!자작나무 합판으로 만들어져. 여러번의 연마를 통해 부드러운 행잉액자입니다 :)높이는 마음대로 조절할 수 있는 행잉액자의 매력을 느낄 수 있습니다.",📌(1)우드 클립보드 스탠드 A4사이즈 +빈티지 바인더 클립 +받침홀더📌(2)우드 클립보드 스탠드 A5사이즈 +빈티지 바인더 클립 +받침홀더a5사이즈의 그림&달력을 가로로 나란히 두면 쏙 들어갑니다!받침대의 뒷면은 펜이 구르지않도록 홀더를 만들었습니다.,,,,
